Player,Position,Date of Birth,Age,Caps,Team
Alun Wyn Jones,Lock,1985-09-19,25,43,Wales
Jonathan Thomas,Lock,1982-12-27,28,62,Wales
Dan Lydiate,Flanker,1987-12-18,23,5,Wales
Rob McCusker,Flanker,1985-12-12,25,3,Wales
Josh Turnbull,Flanker,1987-03-12,23,0,Wales
Sam Warburton,Flanker,1988-10-05,22,9,Wales
Taulupe Faletau,Number 8,1990-11-12,20,0,Wales
Ryan Jones,Number 8,1981-03-13,29,46,Wales
Andy Powell,Number 8,1981-08-23,29,16,Wales
Tavis Knoyle,Scrum-half,1990-06-02,20,1,Wales
Dwayne Peel,Scrum-half,1981-08-31,29,74,Wales
Mike Phillips,Scrum-half,1982-08-29,28,46,Wales
Stephen Jones,Fly-half,1977-12-08,33,95,Wales
Rhys Priestland,Fly-half,1987-01-07,24,0,Wales
Jonathan Davies,Centre,1988-04-05,22,7,Wales
James Hook,Centre,1985-06-27,25,47,Wales
Jamie Roberts,Centre,1986-11-08,24,24,Wales
Chris Czekaj,Wing,1985-12-14,25,9,Wales
Leigh Halfpenny,Wing,1988-12-22,22,17,Wales
Tom Prydie,Wing,1992-02-23,18,4,Wales
Morgan Stoddart,Wing,1984-09-23,26,3,Wales
Shane Williams,Wing,1977-02-26,33,75,Wales
Lee Byrne,Fullback,1980-06-01,30,38,Wales
