Player,Position,Date of Birth,Age,Caps,Year
Gonzalo García,Centre,2/18/1984,31,39,2016
Kelly Haimona,Centre,7/30/1986,29,7,2016
Andrea Pratichetti,Centre,11/26/1988,27,1,2016
Mattia Bellini,Wing,2/8/1994,21,0,2016
David Odiete,Wing,2/24/1993,22,0,2016
Leonardo Sarto,Wing,1/15/1992,24,23,2016
Luke McLean,Fullback,6/29/1987,28,75,2016
Oliviero Fabiani,Hooker,7/13/1990,25,0,2016
Davide Giazzon,Hooker,1/16/1986,30,24,2016
Pietro Ceccarelli,Prop,2/16/1992,23,0,2016
Joshua Furno,Lock,10/21/1989,26,35,2016
Quintin Geldenhuys,Lock,6/19/1981,34,61,2016
Robert Barbieri,Flanker,6/5/1984,31,39,2016
Alberto Lucchese,Scrum-half,3/28/1986,29,0,2016
Tommaso Allan,Fly-half,4/26/1993,22,21,2016
Luca Morisi,Centre,2/22/1991,24,16,2016
Andrea Buondonno,Wing,11/21/1992,24,0,2016
Leonardo Ghiraldini,Hooker,12/26/1984,37,70,2015
Andrea Manici,Hooker,4/28/1990,24,6,2015
Matías Agüero,Prop,2/13/1981,33,29,2015
Martin Castrogiovanni,Prop,10/21/1981,33,107,2015
Dario Chistolini,Prop,9/14/1988,26,5,2015
Alberto De Marchi,Prop,3/13/1986,28,23,2015
George Biagi,Lock,10/4/1985,29,3,2015
Marco Bortolami,Lock,6/12/1980,34,110,2015
Joshua Furno,Lock,10/21/1989,25,24,2015
Quintin Geldenhuys,Lock,6/19/1981,33,52,2015
Robert Barbieri,Flanker,6/5/1984,30,38,2015
Mauro Bergamasco,Flanker,5/1/1979,35,100,2015
Simone Favaro,Flanker,11/7/1988,26,23,2015
Francesco Minto,Flanker,5/20/1987,27,11,2015
Alessandro Zanni,Flanker,1/31/1984,31,86,2015
Sergio Parisse,Number 8,9/12/1983,31,108,2015
Edoardo Gori,Scrum-half,3/5/1990,24,37,2015
Guglielmo Palazzani,Scrum-half,4/11/1991,23,5,2015
Marcello Violi,Scrum-half,10/11/1993,21,0,2015
Tommaso Allan,Fly-half,4/26/1993,21,10,2015
Kelly Haimona,Fly-half,7/30/1986,28,3,2015
Giulio Bisegni,Centre,4/4/1992,22,0,2015
Michele Campagnaro,Centre,3/13/1993,21,12,2015
Luca Morisi,Centre,2/22/1991,23,9,2015
Simone Ragusi,Wing,3/28/1992,22,0,2015
Leonardo Sarto,Wing,1/15/1992,23,12,2015
Giovanbattista Venditti,Wing,3/27/1990,24,22,2015
Michele Visentin,Wing,12/13/1991,23,0,2015
Andrea Masi,Fullback,3/30/1981,33,87,2015
Luke McLean,Fullback,6/29/1987,27,63,2015
Lorenzo Cittadini,Prop,12/17/1982,32,36,2015
Michele Rizzo,Prop,9/16/1982,32,15,2015
Marco Fuser,Lock,3/9/1991,23,2,2015
Antonio Pavanello,Lock,10/13/1982,32,23,2015
Marco Barbini,Flanker,10/16/1990,24,0,2015
Samuela Vunisa,Flanker,8/19/1988,26,1,2015
Luciano Orquera,Fly-half,10/12/1981,33,46,2015
Enrico Bacchin,Centre,11/28/1992,22,0,2015
Tommaso Boni,Centre,1/15/1993,22,0,2015
Leonardo Ghiraldini,Hooker,12/26/1984,29,59,2014
Davide Giazzon,Hooker,1/16/1986,28,15,2014
Martin Castrogiovanni,Prop,10/21/1981,32,101,2014
Lorenzo Cittadini,Prop,12/17/1982,31,27,2014
Alberto De Marchi,Prop,3/13/1986,27,12,2014
Michele Rizzo,Prop,9/16/1982,31,11,2014
Marco Bortolami,Lock,6/12/1980,33,99,2014
Marco Fuser,Lock,3/9/1991,22,1,2014
Quintin Geldenhuys,Lock,6/19/1981,32,41,2014
Antonio Pavanello,Lock,10/13/1982,31,22,2014
Robert Barbieri,Flanker,6/5/1984,29,32,2014
Mauro Bergamasco,Flanker,5/1/1979,34,95,2014
Paul Derbyshire,Flanker,11/3/1986,27,20,2014
Joshua Furno,Flanker,10/21/1989,24,13,2014
Alessandro Zanni,Flanker,1/31/1984,30,80,2014
Sergio Parisse,Number 8,9/12/1983,30,101,2014
Tobias Botes,Scrum-half,4/26/1984,29,19,2014
Edoardo Gori,Scrum-half,3/5/1990,23,29,2014
Guglielmo Palazzani,Scrum-half,4/11/1991,22,0,2014
Tommaso Allan,Fly-half,4/26/1993,20,3,2014
Luciano Orquera,Fly-half,10/12/1981,32,37,2014
Tommaso Benvenuti,Centre,12/12/1990,23,30,2014
Michele Campagnaro,Centre,3/13/1993,20,2,2014
Gonzalo Garcia,Centre,2/18/1984,29,29,2014
Alberto Sgarbi,Centre,11/26/1986,27,27,2014
Mirco Bergamasco,Wing,2/23/1983,30,89,2014
Angelo Esposito,Wing,6/14/1993,20,0,2014
Tommaso Iannone,Wing,9/16/1990,23,6,2014
Leonardo Sarto,Wing,1/15/1992,22,2,2014
Luke McLean,Fullback,6/29/1987,26,52,2014
Matías Agüero,Prop,2/13/1981,32,22,2014
George Biagi,Lock,10/4/1980,33,0,2014
Francesco Minto,Flanker,5/20/1987,26,7,2014
Manoa Vosawai,Number 8,8/12/1983,30,13,2014
Tito Tebaldi,Scrum-half,9/23/1987,26,16,2014
Andrea Masi,Fullback,3/30/1981,32,80,2014
Leonardo Ghiraldini,Hooker,12/26/1984,28,48,2013
Davide Giazzon,Hooker,1/16/1986,27,5,2013
Martin Castrogiovanni,Prop,10/21/1981,31,91,2013
Lorenzo Cittadini,Prop,12/17/1982,30,16,2013
Alberto de Marchi,Prop,3/13/1986,26,4,2013
Andrea Lo Cicero,Prop,5/7/1976,36,98,2013
Michele Rizzo,Prop,9/16/1982,30,5,2013
Joshua Furno,Lock,10/21/1989,23,6,2013
Quintin Geldenhuys,Lock,6/19/1981,31,33,2013
Francesco Minto,Lock,5/20/1987,25,2,2013
Antonio Pavanello,Lock,10/13/1982,30,13,2013
Robert Barbieri,Flanker,6/5/1984,28,27,2013
Mauro Bergamasco,Flanker,5/1/1979,93,93,2013
Paul Derbyshire,Flanker,11/3/1986,26,16,2013
Simone Favaro,Flanker,11/7/1988,24,16,2013
Alessandro Zanni,Flanker,1/31/1984,29,69,2013
Sergio Parisse,Number 8,9/12/1983,29,91,2013
Manoa Vosawai,Number 8,8/12/1983,29,10,2013
Tobias Botes,Scrum-half,4/26/1984,28,8,2013
Edoardo Gori,Scrum-half,3/5/1990,22,19,2013
Kristopher Burton,Fly-half,8/4/1980,32,18,2013
Luciano Orquera,Fly-half,10/12/1981,31,29,2013
Gonzalo Canale,Centre,11/11/1982,30,77,2013
Gonzalo García,Centre,2/18/1984,28,25,2013
Andrea Masi,Centre,3/30/1981,31,72,2013
Alberto Sgarbi,Centre,11/26/1986,26,23,2013
Tommaso Benvenuti,Wing,12/12/1990,22,23,2013
Tommaso Iannone,Wing,9/16/1990,22,1,2013
Giovanbattista Venditti,Wing,3/27/1990,22,9,2013
Paolo Buso,Fullback,7/28/1986,26,1,2013
Luke McLean,Fullback,6/29/1987,25,41,2013
Tommaso D'Apice,Hooker,6/30/1988,23,3,2012
Leonardo Ghiraldini,Hooker,12/26/1984,27,41,2012
Martin Castrogiovanni,Prop,10/21/1981,30,82,2012
Lorenzo Cittadini,Prop,12/17/1982,29,8,2012
Alberto de Marchi,Prop,3/13/1986,25,0,2012
Andrea Lo Cicero,Prop,5/7/1976,35,91,2012
Marco Bortolami,Lock,6/12/1980,31,88,2012
Quintin Geldenhuys,Lock,6/19/1981,30,25,2012
Antonio Pavanello,Lock,10/13/1982,29,5,2012
Corniel van Zyl,Lock,1/27/1979,33,6,2012
Mauro Bergamasco,Flanker,5/1/1979,32,88,2012
Paul Derbyshire,Flanker,11/3/1986,25,16,2012
Simone Favaro,Flanker,11/7/1988,23,6,2012
Alessandro Zanni,Flanker,1/31/1984,28,58,2012
Robert Barbieri,Number 8,6/5/1984,27,16,2012
Sergio Parisse,Number 8,9/12/1983,28,83,2012
Edoardo Gori,Scrum-half,3/5/1990,21,9,2012
Fabio Semenzato,Scrum-half,5/6/1986,25,8,2012
Kristopher Burton,Fly-half,8/4/1980,31,9,2012
Luciano Orquera,Fly-half,10/12/1981,30,27,2012
Gonzalo Canale,Centre,11/11/1982,29,72,2012
Luca Morisi,Centre,2/22/1991,20,0,2012
Roberto Quartaroli,Centre,3/29/1988,23,3,2012
Alberto Sgarbi,Centre,11/26/1986,25,14,2012
Tommaso Benvenuti,Wing,12/12/1990,21,12,2012
Angelo Esposito,Wing,6/14/1993,18,0,2012
Giulio Toniolatti,Wing,1/15/1984,28,8,2012
Giovanbattista Venditti,Wing,3/27/1990,21,0,2012
Andrea Masi,Fullback,3/30/1981,30,64,2012
Luke McLean,Fullback,6/29/1987,24,33,2012
Carlo Festuccia,Hooker,6/20/1980,30,49,2011
Leonardo Ghiraldini,Hooker,12/26/1984,26,31,2011
Fabio Ongaro,Hooker,9/23/1977,33,74,2011
Martin Castrogiovanni,Prop,10/21/1981,29,71,2011
Lorenzo Cittadini,Prop,12/17/1982,28,4,2011
Ignacio Fernandez Rouyet,Prop,12/21/1979,31,7,2011
Andrea Lo Cicero,Prop,5/7/1976,34,81,2011
Salvatore Perugini,Prop,3/6/1978,32,75,2011
Valerio Bernabò,Lock,3/3/1984,26,15,2011
Carlo Del Fava,Lock,7/1/1981,29,48,2011
Santiago Dellapè,Lock,5/9/1978,32,60,2011
Quintin Geldenhuys,Lock,6/19/1981,29,16,2011
Robert Barbieri,Flanker,6/5/1984,26,10,2011
Paul Derbyshire,Flanker,7/3/1986,24,8,2011
Josh Sole,Flanker,2/15/1980,30,46,2011
Alessandro Zanni,Flanker,1/31/1984,27,47,2011
Sergio Parisse,Number 8,9/12/1983,27,72,2011
Manoa Vosawai,Number 8,8/12/1983,27,7,2011
Pablo Canavosio,Scrum-half,12/26/1981,29,32,2011
Edoardo Gori,Scrum-half,3/5/1990,20,2,2011
Fabio Semenzato,Scrum-half,5/6/1986,24,0,2011
Tito Tebaldi,Scrum-half,9/23/1987,23,14,2011
Kristopher Burton,Fly-half,8/4/1980,30,4,2011
Luciano Orquera,Fly-half,10/12/1981,29,17,2011
Gonzalo Canale,Centre,11/11/1982,28,61,2011
Gonzalo Garcia,Centre,2/18/1984,26,18,2011
Matteo Pratichetti,Centre,7/27/1985,25,22,2011
Alberto Sgarbi,Centre,11/26/1986,24,8,2011
Tommaso Benvenuti,Wing,12/12/1990,20,3,2011
Mirco Bergamasco,Wing,2/23/1983,27,76,2011
Andrea Masi,Wing,3/30/1981,29,55,2011
Luke McLean,Fullback,6/29/1987,23,24,2011
Leonardo Ghiraldini,Hooker,12/26/1984,26,24,2010
Fabio Ongaro,Hooker,9/23/1977,33,64,2010
Matías Agüero,Prop,2/13/1981,29,13,2010
Martin Castrogiovanni,Prop,10/21/1981,29,62,2010
Lorenzo Cittadini,Prop,12/17/1982,28,1,2010
Salvatore Perugini,Prop,3/6/1978,32,66,2010
Valerio Bernabò,Lock,3/3/1984,26,13,2010
Marco Bortolami,Lock,6/12/1980,30,77,2010
Carlo Del Fava,Lock,7/1/1981,29,41,2010
Quintin Geldenhuys,Lock,6/19/1981,29,6,2010
Antonio Pavanello,Lock,10/13/1982,28,5,2010
Mauro Bergamasco,Flanker,5/1/1979,31,79,2010
Paul Derbyshire,Flanker,6/3/1986,24,1,2010
Simone Favaro,Flanker,11/7/1988,22,5,2010
Josh Sole,Flanker,2/15/1980,30,41,2010
Manoa Vosawai,Number 8,8/12/1983,27,5,2010
Alessandro Zanni,Number 8,1/31/1984,26,37,2010
Pablo Canavosio,Scrum-half,12/26/1981,29,26,2010
Simon Picone,Scrum-half,9/26/1982,28,20,2010
Tito Tebaldi,Scrum-half,9/20/1987,23,6,2010
Riccardo Bocchino,Fly-half,3/3/1988,22,0,2010
Craig Gower,Fly-half,4/29/1978,32,6,2010
Andrea Marcato,Fly-half,4/17/1983,27,16,2010
Gonzalo Canale,Centre,11/11/1982,28,51,2010
Gonzalo Garcia,Centre,2/18/1984,26,13,2010
Matteo Pratichetti,Centre,7/27/1985,25,20,2010
Alberto Sgarbi,Centre,11/26/1986,24,5,2010
Mirco Bergamasco,Wing,2/23/1983,27,66,2010
Andrea Masi,Wing,3/30/1981,29,46,2010
Kaine Robertson,Wing,10/29/1980,30,41,2010
Michele Sepe,Wing,10/8/1986,24,2,2010
Paolo Buso,Fullback,7/28/1986,24,1,2010
Luke McLean,Fullback,6/29/1987,23,11,2010
