Player,Position,Date of Birth,Age,Caps,Team,Year
Gaëtan Barlot,Hooker,1997-04-13,24,4,France,2022
Julien Marchand,Hooker,1995-05-10,26,16,France,2022
Peato Mauvaka,Hooker,1997-01-10,25,9,France,2022
Uini Atonio,Prop,1990-03-26,31,39,France,2022
Cyril Baille,Prop,1993-09-15,28,31,France,2022
Demba Bamba,Prop,1998-03-17,23,20,France,2022
Daniel Bibi Biziwu,Prop,2001-08-29,20,0,France,2022
Jean-Baptiste Gros,Prop,1999-05-29,22,14,France,2022
Mohamed Haouas,Prop,1994-03-09,27,13,France,2022
Thibaud Flament,Lock,1997-04-29,24,3,France,2022
Bernard Le Roux,Lock,1989-06-04,32,47,France,2022
Romain Taofifénua,Lock,1990-09-14,31,31,France,2022
Florent Vanverberghe,Lock,2000-07-22,21,0,France,2022
Florian Verhaeghe,Lock,1997-04-27,24,0,France,2022
Paul Willemse,Lock,1992-11-13,29,19,France,2022
Grégory Alldritt,Back row,1997-03-23,24,26,France,2022
Dylan Cretin,Back row,1997-05-04,24,13,France,2022
François Cros,Back row,1994-03-25,27,11,France,2022
Ibrahim Diallo,Back row,1998-01-23,24,1,France,2022
Anthony Jelonch,Back row,1996-07-28,25,14,France,2022
Sekou Macalou,Back row,1995-04-20,26,7,France,2022
Yoan Tanga,Back row,1996-11-29,25,0,France,2022
Cameron Woki,Back row,1998-11-07,23,11,France,2022
Baptiste Couilloud,Scrum-half,1997-07-22,24,8,France,2022
Antoine Dupont,Scrum-half,1996-11-15,25,35,France,2022
Maxime Lucu,Scrum-half,1993-01-12,29,2,France,2022
Léo Berdeu,Fly-half,1998-06-13,23,0,France,2022
Antoine Hastoy,Fly-half,1997-06-04,24,1,France,2022
Romain Ntamack,Fly-half,1999-05-01,22,23,France,2022
Jonathan Danty,Centre,1992-10-07,29,11,France,2022
Jules Favre,Centre,1999-03-22,22,0,France,2022
Gaël Fickou,Centre,1994-03-26,27,66,France,2022
Yoram Moefana,Centre,2000-07-18,21,2,France,2022
Virimi Vakatawa,Centre,1992-05-01,29,30,France,2022
Tani Vili,Centre,2000-10-31,21,0,France,2022
Matthis Lebel,Wing,1999-03-25,22,1,France,2022
Damian Penaud,Wing,1996-09-25,25,28,France,2022
Teddy Thomas,Wing,1993-09-18,28,28,France,2022
Gabin Villière,Wing,1995-12-13,26,8,France,2022
Brice Dulin,Fullback,1990-04-13,31,36,France,2022
Melvyn Jaminet,Fullback,1999-06-30,22,6,France,2022
Thomas Ramos,Fullback,1995-07-23,26,14,France,2022
Rob Herring,Hooker,1990-04-27,31,23,Ireland,2022
Rónan Kelleher,Hooker,1998-01-21,24,16,Ireland,2022
Dan Sheehan,Hooker,1998-09-17,23,2,Ireland,2022
Finlay Bealham,Prop,1991-10-09,30,18,Ireland,2022
Tadhg Furlong,Prop,1992-11-14,29,52,Ireland,2022
Cian Healy,Prop,1987-10-07,34,112,Ireland,2022
Dave Kilcoyne,Prop,1988-12-14,33,45,Ireland,2022
Tom O'Toole,Prop,1998-09-23,23,2,Ireland,2022
Andrew Porter,Prop,1996-01-16,26,40,Ireland,2022
Ryan Baird,Lock,1999-07-26,22,6,Ireland,2022
Tadhg Beirne,Lock,1992-01-08,30,25,Ireland,2022
Iain Henderson,Lock,1992-02-21,29,65,Ireland,2022
James Ryan,Lock,1996-07-24,25,40,Ireland,2022
Kieran Treadwell,Lock,1995-11-06,26,3,Ireland,2022
Jack Conan,Back row,1992-07-29,29,22,Ireland,2022
Gavin Coombes,Back row,1997-12-11,24,2,Ireland,2022
Caelan Doris,Back row,1998-04-02,23,12,Ireland,2022
Peter O'Mahony,Back row,1989-09-17,32,79,Ireland,2022
Cian Prendergast,Back row,2000-02-23,21,0,Ireland,2022
Nick Timoney,Back row,1995-08-01,26,2,Ireland,2022
Josh van der Flier,Back row,1993-04-25,28,35,Ireland,2022
Craig Casey,Scrum-half,1999-04-19,22,4,Ireland,2022
Jamison Gibson-Park,Scrum-half,1992-02-23,29,12,Ireland,2022
Conor Murray,Scrum-half,1989-04-20,32,92,Ireland,2022
Jack Carty,Fly-half,1992-08-31,29,10,Ireland,2022
Joey Carbery,Fly-half,1995-11-01,26,27,Ireland,2022
Johnny Sexton (c),Fly-half,1985-07-11,36,101,Ireland,2022
Bundee Aki,Centre,1990-04-07,31,33,Ireland,2022
Robbie Henshaw,Centre,1993-06-12,28,53,Ireland,2022
James Hume,Centre,1998-09-07,23,1,Ireland,2022
Garry Ringrose,Centre,1995-01-26,27,37,Ireland,2022
Robert Baloucoune,Wing,1997-08-19,24,2,Ireland,2022
Andrew Conway,Wing,1991-07-11,30,27,Ireland,2022
Keith Earls,Wing,1987-10-02,34,96,Ireland,2022
Mack Hansen,Wing,1998-03-27,23,0,Ireland,2022
Hugo Keenan,Fullback,1996-06-18,25,16,Ireland,2022
Jordan Larmour,Fullback,1997-06-10,24,30,Ireland,2022
Michael Lowry,Fullback,1998-08-20,23,0,Ireland,2022
Hame Faiva,Hooker,1994-05-09,27,1,Italy,2022
Gianmarco Lucchesi,Hooker,2000-09-10,21,8,Italy,2022
Giacomo Nicotera,Hooker,1996-07-15,25,0,Italy,2022
Pietro Ceccarelli,Prop,1992-02-16,29,17,Italy,2022
Danilo Fischetti,Prop,1998-01-26,24,15,Italy,2022
Ivan Nemer,Prop,1998-04-22,23,3,Italy,2022
Tiziano Pasquali,Prop,1994-07-14,27,21,Italy,2022
Cherif Traorè,Prop,1994-04-10,27,12,Italy,2022
Giosuè Zilocchi,Prop,1997-01-15,25,15,Italy,2022
Niccolò Cannone,Lock,1998-05-17,23,15,Italy,2022
Marco Fuser,Lock,1991-03-09,30,36,Italy,2022
Federico Ruzza,Lock,1994-08-04,27,25,Italy,2022
David Sisi,Lock,1993-02-05,29,18,Italy,2022
Toa Halafihi,Back row,1993-11-27,28,0,Italy,2022
Michele Lamaro (c),Back row,1998-06-03,23,10,Italy,2022
Sebastian Negri,Back row,1994-06-30,27,36,Italy,2022
Giovanni Pettinelli,Back row,1996-03-13,25,1,Italy,2022
Braam Steyn,Back row,1992-05-02,29,46,Italy,2022
Manuel Zuliani,Back row,2000-04-26,21,0,Italy,2022
Callum Braley,Scrum-half,1994-03-24,27,12,Italy,2022
Alessandro Fusco,Scrum-half,1999-10-28,22,2,Italy,2022
Stephen Varney,Scrum-half,2001-05-16,20,9,Italy,2022
Giacomo Da Re,Fly-half,1999-03-29,22,0,Italy,2022
Paolo Garbisi,Fly-half,2000-04-26,21,13,Italy,2022
Leonardo Marin,Fly-half,2002-02-23,19,0,Italy,2022
Ignacio Brex,Centre,1992-05-26,29,8,Italy,2022
Luca Morisi,Centre,1991-02-22,30,36,Italy,2022
Marco Zanon,Centre,1997-10-03,24,7,Italy,2022
Pierre Bruno,Wing,1996-06-28,25,1,Italy,2022
Monty Ioane,Wing,1994-10-30,27,9,Italy,2022
Tommaso Menoncello,Wing,2002-08-20,19,0,Italy,2022
Federico Mori,Wing,2000-10-13,21,11,Italy,2022
Edoardo Padovani,Fullback,1993-03-15,28,30,Italy,2022
Ewan Ashman,Hooker,2000-04-03,21,2,Scotland,2022
Stuart McInally,Hooker,1990-08-09,31,43,Scotland,2022
George Turner,Hooker,1992-10-08,29,20,Scotland,2022
Jamie Bhatti,Prop,1993-09-08,28,22,Scotland,2022
Zander Fagerson,Prop,1996-01-19,26,42,Scotland,2022
WP Nel,Prop,1986-04-30,35,43,Scotland,2022
Pierre Schoeman,Prop,1994-05-07,27,4,Scotland,2022
Javan Sebastian,Prop,1994-09-27,27,1,Scotland,2022
Rory Sutherland,Prop,1992-08-24,29,16,Scotland,2022
Scott Cummings,Lock,1996-12-03,25,21,Scotland,2022
Grant Gilchrist,Lock,1990-08-09,31,48,Scotland,2022
Jonny Gray,Lock,1994-03-24,27,64,Scotland,2022
Jamie Hodgson,Lock,1998-03-19,23,3,Scotland,2022
Sam Skinner,Lock,1995-01-31,27,15,Scotland,2022
Josh Bayliss,Back row,1997-09-18,24,2,Scotland,2022
Magnus Bradbury,Back row,1995-08-23,26,14,Scotland,2022
Andy Christie,Back row,1999-03-27,22,0,Scotland,2022
Rory Darge,Back row,2000-02-23,21,0,Scotland,2022
Matt Fagerson,Back row,1998-07-16,23,17,Scotland,2022
Nick Haining,Back row,1990-09-01,31,10,Scotland,2022
Jamie Ritchie,Back row,1996-08-16,25,31,Scotland,2022
Hamish Watson,Back row,1991-10-15,30,45,Scotland,2022
Ali Price,Scrum-half,1993-05-12,28,46,Scotland,2022
Ben Vellacott,Scrum-half,1995-03-28,26,0,Scotland,2022
Ben White,Scrum-half,1998-05-27,23,0,Scotland,2022
Finn Russell,Fly-half,1992-09-23,29,58,Scotland,2022
Mark Bennett,Centre,1993-02-03,29,22,Scotland,2022
Chris Harris,Centre,1990-12-28,31,31,Scotland,2022
Rory Hutchinson,Centre,1996-01-29,26,5,Scotland,2022
Sam Johnson,Centre,1993-06-19,28,21,Scotland,2022
Cameron Redpath,Centre,1999-12-23,22,1,Scotland,2022
Sione Tuipulotu,Centre,1997-02-12,24,1,Scotland,2022
Darcy Graham,Wing,1997-06-21,24,22,Scotland,2022
Rufus McLean,Wing,2000-03-02,21,2,Scotland,2022
Kyle Rowe,Wing,1998-02-08,23,0,Scotland,2022
Kyle Steyn,Wing,1994-01-29,28,3,Scotland,2022
Duhan van der Merwe,Wing,1995-06-04,26,13,Scotland,2022
Stuart Hogg,Fullback,1992-06-24,29,88,Scotland,2022
Blair Kinghorn,Fullback,1997-01-18,25,28,Scotland,2022
Nic Dolly,Hooker,1999-06-11,22,1,Wales,2022
Nick Isiekwe,Lock,1998-04-20,23,3,Wales,2022
Joe Launchbury,Lock,1991-04-12,30,69,Wales,2022
Tom Pearson,Back row,1999-10-26,22,0,Wales,2022
Sam Underhill,Back row,1996-07-22,25,27,Wales,2022
Jack Willis,Back row,1996-12-24,25,3,Wales,2022
Alex Mitchell,Scrum-half,1997-05-25,24,1,Wales,2022
George Ford,Fly-half,1993-03-16,28,77,Wales,2022
Manu Tuilagi,Centre,1991-05-18,30,46,Wales,2022
Elliot Daly,Wing,1992-10-08,29,52,Wales,2022
Louis Lynagh,Wing,2000-12-03,21,0,Wales,2022
Adam Radwan,Wing,1997-12-30,24,2,Wales,2022
Andrea Lovotti,Prop,1989-07-28,32,47,Wales,2022
Ion Neculai,Prop,2001-01-25,21,0,Wales,2022
Andrea Zambonin,Lock,2000-09-03,21,1,Wales,2022
Renato Giammarioli,Back row,1995-03-23,26,5,Wales,2022
Enrico Lucchin,Centre,1995-04-04,26,0,Wales,2022
Ange Capuozzo,Fullback,1999-04-30,22,0,Wales,2022
Fraser Brown,Hooker,1989-06-20,32,54,Wales,2022
Simon Berghan,Prop,1990-12-07,31,31,Wales,2022
Allan Dell,Prop,1992-03-16,29,32,Wales,2022
Oli Kebble,Prop,1992-06-18,29,11,Wales,2022
Murphy Walker,Prop,1999-10-25,22,0,Wales,2022
Kiran McDonald,Lock,1994-01-11,28,0,Wales,2022
Marshall Sykes,Lock,1999-12-29,22,1,Wales,2022
Glen Young,Lock,1994-11-04,27,0,Wales,2022
Adam Hastings,Fly-half,1996-10-05,25,25,Wales,2022
Ross Thompson,Fly-half,1999-04-10,22,1,Wales,2022
James Lang,Centre,1995-05-03,26,6,Wales,2022
Jordan Edmunds,Wing,1994-06-28,28,0,Wales,2022
Sean Maitland,Wing,1988-09-14,33,53,Wales,2022
Ollie Smith,Fullback,2000-07-08,21,0,Wales,2022
Ryan Elias,Hooker,1995-01-07,27,23,Wales,2022
Dewi Lake,Hooker,1999-05-16,22,0,Wales,2022
Bradley Roberts,Hooker,1996-01-04,26,1,Wales,2022
Leon Brown,Prop,1996-10-26,25,16,Wales,2022
Rhys Carré,Prop,1998-02-08,23,16,Wales,2022
Tomas Francis,Prop,1992-04-27,29,60,Wales,2022
Wyn Jones,Prop,1992-02-26,29,38,Wales,2022
Dillon Lewis,Prop,1996-01-04,26,34,Wales,2022
Gareth Thomas,Prop,1993-08-02,28,5,Wales,2022
Adam Beard,Lock,1996-01-07,26,29,Wales,2022
Ben Carter,Lock,2001-01-23,21,5,Wales,2022
Seb Davies,Lock,1996-05-17,25,13,Wales,2022
Will Rowlands,Lock,1991-09-19,30,13,Wales,2022
Christ Tshiunza,Lock,2002-01-09,20,2,Wales,2022
Taine Basham,Back row,1999-11-02,22,7,Wales,2022
Ellis Jenkins,Back row,1993-04-29,28,14,Wales,2022
Jac Morgan,Back row,2000-01-21,22,0,Wales,2022
Ross Moriarty,Back row,1994-04-18,27,49,Wales,2022
James Ratti,Back row,1997-10-14,24,0,Wales,2022
Aaron Wainwright,Back row,1997-09-25,24,34,Wales,2022
Gareth Davies,Scrum-half,1990-08-18,31,65,Wales,2022
Kieran Hardy,Scrum-half,1995-11-30,26,8,Wales,2022
Tomos Williams,Scrum-half,1995-01-01,27,29,Wales,2022
Gareth Anscombe,Fly-half,1991-05-10,30,29,Wales,2022
Dan Biggar (c),Fly-half,1989-10-16,32,95,Wales,2022
Rhys Priestland,Fly-half,1987-01-09,35,52,Wales,2022
Callum Sheedy,Fly-half,1995-10-28,26,13,Wales,2022
Jonathan Davies,Centre,1988-04-05,33,93,Wales,2022
Willis Halaholo,Centre,1990-07-06,31,9,Wales,2022
Nick Tompkins,Centre,1995-02-16,26,16,Wales,2022
Owen Watkin,Centre,1996-10-12,25,26,Wales,2022
Josh Adams,Wing,1995-04-21,26,35,Wales,2022
Alex Cuthbert,Wing,1990-04-05,31,48,Wales,2022
Louis Rees-Zammit,Wing,2001-02-02,21,12,Wales,2022
Johnny McNicholl,Fullback,1990-09-24,31,8,Wales,2022
Liam Williams,Fullback,1991-04-09,30,74,Wales,2022
Luke Cowan-Dickie,Hooker,1993-06-12,27,26,England,2022
Jamie George,Hooker,1990-06-20,30,54,England,2022
Ellis Genge,Prop,1995-02-15,25,23,England,2021
Joe Marler,Prop,1990-07-07,30,72,England,2021
Beno Obano,Prop,1994-10-25,26,0,England,2021
Will Stuart,Prop,1996-07-12,24,8,England,2021
Harry Williams,Prop,1991-10-01,29,18,England,2021
Jonny Hill,Lock,1994-06-08,26,3,England,2021
Maro Itoje,Lock,1994-10-28,26,43,England,2021
Joe Launchbury,Lock,1991-04-12,29,69,England,2021
Courtney Lawes,Lock,1989-02-23,31,85,England,2021
Tom Curry,Back row,1998-06-15,22,28,England,2021
Ben Earl,Back row,1998-01-07,23,8,England,2021
Sam Underhill,Back row,1996-07-22,24,22,England,2021
Billy Vunipola,Back row,1992-11-03,28,56,England,2021
Mark Wilson,Back row,1989-10-06,31,19,England,2021
Harry Randall,Scrum-half,1997-12-18,23,0,England,2021
Dan Robson,Scrum-half,1992-03-14,28,7,England,2021
Ben Youngs,Scrum-half,1989-09-05,31,104,England,2021
Owen Farrell (c),Fly-half,1991-09-24,29,88,England,2021
George Ford,Fly-half,1993-03-16,27,72,England,2021
Ollie Lawrence,Centre,1999-09-18,21,3,England,2021
Henry Slade,Centre,1993-03-13,27,34,England,2021
Jonny May,Wing,1990-05-01,30,61,England,2021
Paolo Odogwu,Wing,1997-02-18,23,0,England,2021
Anthony Watson,Wing,1994-02-26,26,46,England,2021
Elliot Daly,Fullback,1992-10-08,28,47,England,2021
Max Malins,Fullback,1997-01-07,24,3,England,2021
Kyle Sinckler,Prop,1993-03-30,27,40,France,2021
Mako Vunipola,Prop,1991-01-14,30,63,France,2021
David Ribbans,Lock,1995-08-29,25,0,France,2021
Tom Dunn,Hooker,1992-11-12,28,3,France,2021
Joe Heyes,Prop,1999-04-13,21,0,France,2021
Charlie Ewels,Lock,1995-06-29,25,17,France,2021
George Martin,Lock,2001-06-18,19,0,France,2021
Jack Willis,Back row,1996-12-24,24,2,France,2021
Alex Mitchell,Scrum-half,1997-05-25,23,0,France,2021
Charlie Atkinson,Fly-half,2001-10-06,19,0,France,2021
Jacob Umaga,Fly-half,1998-07-08,22,0,France,2021
Jonathan Joseph,Centre,1991-05-21,29,54,France,2021
Joe Marchant,Centre,1996-02-06,25,4,France,2021
Alistair Crossdale,Wing,1998-01-09,23,0,France,2021
George Furbank,Fullback,1996-10-17,24,3,France,2021
Pierre Bourgarit,Hooker,1997-09-12,23,3,France,2021
Julien Marchand,Hooker,1995-05-10,25,9,France,2021
Peato Mauvaka,Hooker,1997-01-10,24,6,France,2021
Dorian Aldegheri,Prop,1993-08-04,27,6,France,2021
Cyril Baille,Prop,1993-09-15,27,23,France,2021
Georges-Henri Colombe,Prop,1998-04-09,22,0,France,2021
Jean-Baptiste Gros,Prop,1999-05-29,21,5,France,2021
Mohamed Haouas,Prop,1994-06-09,26,7,France,2021
Kilian Geraci,Lock,1999-03-25,21,2,France,2021
Bernard Le Roux,Lock,1989-06-04,31,44,France,2021
Romain Taofifénua,Lock,1990-09-14,30,22,France,2021
Paul Willemse,Lock,1992-11-13,28,12,France,2021
Grégory Alldritt,Back row,1997-03-23,23,18,France,2021
Dylan Cretin,Back row,1997-05-04,23,5,France,2021
Anthony Jelonch,Back row,1996-07-28,24,4,France,2021
Charles Ollivon (c),Back row,1993-05-11,27,18,France,2021
Baptiste Pesenti,Back row,1997-07-03,23,2,France,2021
Cameron Woki,Back row,1998-11-07,22,4,France,2021
Baptiste Couilloud,Scrum-half,1997-07-22,23,5,France,2021
Antoine Dupont,Scrum-half,1996-11-15,24,27,France,2021
Baptiste Serin,Scrum-half,1994-06-20,26,40,France,2021
Louis Carbonel,Fly-half,1999-02-04,22,2,France,2021
Matthieu Jalibert,Fly-half,1998-11-06,22,8,France,2021
Pierre-Louis Barassi,Centre,1998-04-22,22,2,France,2021
Gaël Fickou,Centre,1994-03-26,26,58,France,2021
Arthur Vincent,Centre,1999-09-30,21,7,France,2021
Damian Penaud,Wing,1996-09-25,24,17,France,2021
Teddy Thomas,Wing,1993-09-18,27,22,France,2021
Gabin Villière,Wing,1995-12-13,25,2,France,2021
Anthony Bouthier,Fullback,1992-06-19,28,6,France,2021
Brice Dulin,Fullback,1990-04-13,30,31,France,2021
WillGriff John,Prop,1992-12-04,28,0,France,2021
James Botham,Back row,1998-02-22,22,3,France,2021
Lloyd Williams,Scrum-half,1989-11-30,31,31,France,2021
Willis Halaholo,Centre,1990-07-06,30,0,France,2021
Gaëtan Barlot,Hooker,1997-04-13,23,0,France,2021
Teddy Baubigny,Hooker,1998-09-02,22,1,France,2021
Camille Chat,Hooker,1995-12-18,25,31,France,2021
Uini Atonio,Prop,1990-03-26,30,34,France,2021
Demba Bamba,Prop,1998-03-17,22,14,France,2021
Wilfrid Hounkpatin,Prop,1991-07-29,29,0,France,2021
Hassane Kolingar,Prop,1998-03-06,22,2,France,2021
Thierry Paiva,Prop,1995-11-19,25,0,France,2021
Cyril Cazeaux,Lock,1995-02-10,26,1,France,2021
Swan Rebbadj,Lock,1995-01-15,26,1,France,2021
Maxime Lucu,Scrum-half,1993-01-12,28,0,France,2021
Romain Ntamack,Fly-half,1999-05-01,21,18,France,2021
Jonathan Danty,Centre,1992-10-07,28,7,France,2021
Yoram Moefana,Centre,2000-07-18,20,2,France,2021
Virimi Vakatawa,Centre,1992-05-01,28,27,France,2021
Donovan Taofifénua,Wing,1999-03-30,21,0,France,2021
Thomas Ramos,Fullback,1995-07-23,25,14,France,2021
Dave Heffernan,Hooker,1991-01-31,30,5,Ireland,2021
Rob Herring,Hooker,1990-04-27,30,16,Ireland,2021
Rónan Kelleher,Hooker,1998-01-21,23,6,Ireland,2021
Tadhg Furlong,Prop,1992-11-14,28,44,Ireland,2021
Cian Healy,Prop,1987-10-07,33,104,Ireland,2021
David Kilcoyne,Prop,1988-12-14,32,39,Ireland,2021
Tom O'Toole,Prop,1998-09-23,22,0,Ireland,2021
Andrew Porter,Prop,1996-01-16,25,32,Ireland,2021
Tadhg Beirne,Lock,1992-01-08,29,17,Ireland,2021
Ultan Dillane,Lock,1993-11-09,27,17,Ireland,2021
Iain Henderson,Lock,1992-02-21,28,58,Ireland,2021
Quinn Roux,Lock,1990-10-30,30,16,Ireland,2021
James Ryan,Lock,1996-07-24,24,32,Ireland,2021
Will Connors,Back row,1996-04-04,24,5,Ireland,2021
Caelan Doris,Back row,1998-04-02,22,7,Ireland,2021
Peter O'Mahony,Back row,1989-09-17,31,73,Ireland,2021
Rhys Ruddock,Back row,1990-11-13,30,26,Ireland,2021
CJ Stander,Back row,1990-04-05,30,46,Ireland,2021
Josh van der Flier,Back row,1993-04-25,27,28,Ireland,2021
Craig Casey,Scrum-half,1999-04-19,21,0,Ireland,2021
Jamison Gibson-Park,Scrum-half,1992-02-23,28,5,Ireland,2021
Conor Murray,Scrum-half,1989-04-20,31,87,Ireland,2021
Billy Burns,Fly-half,1994-06-13,26,3,Ireland,2021
Ross Byrne,Fly-half,1995-04-08,25,11,Ireland,2021
Johnny Sexton (c),Fly-half,1985-07-11,35,95,Ireland,2021
Bundee Aki,Centre,1990-04-07,30,30,Ireland,2021
Chris Farrell,Centre,1993-03-16,27,14,Ireland,2021
Robbie Henshaw,Centre,1993-06-12,27,47,Ireland,2021
Stuart McCloskey,Centre,1992-08-06,28,4,Ireland,2021
Garry Ringrose,Centre,1995-01-26,26,30,Ireland,2021
Andrew Conway,Wing,1991-07-11,29,24,Ireland,2021
Keith Earls,Wing,1987-10-02,33,88,Ireland,2021
Jordan Larmour,Wing,1997-06-10,23,24,Ireland,2021
Hugo Keenan,Wing,1996-06-18,24,6,Ireland,2021
James Lowe,Wing,1992-07-08,28,2,Ireland,2021
Shane Daly,Fullback,1996-12-19,24,1,Ireland,2021
Finlay Bealham,Prop,1991-10-09,29,14,Ireland,2021
Ed Byrne,Prop,1993-09-09,27,3,Ireland,2021
Ryan Baird,Lock,1999-07-26,21,0,Ireland,2021
Jack Conan,Back row,1992-07-29,28,17,Ireland,2021
Gavin Coombes,Back row,1997-12-11,23,0,Ireland,2021
John Cooney,Scrum-half,1990-05-01,30,11,Ireland,2021
Harry Byrne,Fly-half,1999-04-22,21,0,Ireland,2021
Jacob Stockdale,Wing,1996-04-03,24,33,Ireland,2021
Luca Bigi (c),Hooker,1991-04-19,29,32,Italy,2021
Gianmarco Lucchesi,Hooker,2000-09-10,20,2,Italy,2021
Marco Manfredi,Hooker,1997-09-18,23,0,Italy,2021
Pietro Ceccarelli,Prop,1992-02-16,28,14,Italy,2021
Danilo Fischetti,Prop,1998-01-26,23,8,Italy,2021
Marco Riccioni,Prop,1997-10-19,23,7,Italy,2021
Daniele Rimpelli,Prop,1997-06-23,23,0,Italy,2021
Cherif Traorè,Prop,1994-04-10,26,10,Italy,2021
Giosuè Zilocchi,Prop,1997-01-15,24,10,Italy,2021
Niccolò Cannone,Lock,1998-05-17,22,8,Italy,2021
Riccardo Favretto,Lock,2001-10-10,19,0,Italy,2021
Marco Lazzaroni,Lock,1995-05-18,25,11,Italy,2021
David Sisi,Lock,1993-02-05,28,11,Italy,2021
Cristian Stoian,Lock,1999-12-19,21,2,Italy,2021
Michele Lamaro,Back row,1998-06-03,22,2,Italy,2021
Maxime Mbanda,Back row,1992-04-10,28,25,Italy,2021
Johan Meyer,Back row,1993-02-26,27,9,Italy,2021
Sebastian Negri,Back row,1994-06-30,26,28,Italy,2021
Federico Ruzza,Back row,1994-08-04,26,19,Italy,2021
Callum Braley,Scrum-half,1994-03-24,26,9,Italy,2021
Guglielmo Palazzani,Scrum-half,1991-04-11,29,41,Italy,2021
Stephen Varney,Scrum-half,2001-05-16,19,3,Italy,2021
Tommaso Allan,Fly-half,1993-04-26,27,60,Italy,2021
Carlo Canna,Fly-half,1992-08-25,28,47,Italy,2021
Paolo Garbisi,Fly-half,2000-04-26,20,5,Italy,2021
Ignacio Brex,Centre,1992-05-26,28,0,Italy,2021
Federico Mori,Centre,2000-10-13,20,5,Italy,2021
Marco Zanon,Centre,1997-10-03,23,4,Italy,2021
Mattia Bellini,Wing,1994-02-08,26,28,Italy,2021
Monty Ioane,Wing,1994-10-30,26,1,Italy,2021
Luca Sperandio,Wing,1996-01-28,25,6,Italy,2021
Jacopo Trulla,Fullback,2000-11-05,20,3,Italy,2021
Renato Giammarioli,Back row,1995-03-23,25,4,Italy,2021
Marcello Violi,Scrum-half,1993-10-11,27,19,Italy,2021
Tommaso Boni,Centre,1993-01-15,28,11,Italy,2021
Tommaso Menoncello,Centre,2002-08-20,18,0,Italy,2021
Michelangelo Biondelli,Fullback,1998-05-15,22,0,Italy,2021
Jamie Dobie,Scrum-half,2001-06-07,19,0,Scotland,2021
Rufus McLean,Fullback,2000-03-02,20,0,Scotland,2021
Ewan Ashman,Hooker,2000-04-03,20,0,Scotland,2021
David Cherry,Hooker,1991-01-03,30,0,Scotland,2021
Grant Stewart,Hooker,1995-02-28,25,3,Scotland,2021
George Turner,Hooker,1992-10-08,28,12,Scotland,2021
Simon Berghan,Prop,1990-12-07,30,28,Scotland,2021
Allan Dell,Prop,1992-03-16,28,32,Scotland,2021
Zander Fagerson,Prop,1996-01-16,25,34,Scotland,2021
Oli Kebble,Prop,1992-06-18,28,5,Scotland,2021
WP Nel,Prop,1986-04-30,34,40,Scotland,2021
Rory Sutherland,Prop,1992-08-24,28,11,Scotland,2021
Alex Craig,Lock,1997-04-21,23,0,Scotland,2021
