Player,Position,Date of Birth,Age,Caps,Team
Sam Warburton,Flanker,1988-10-05,33,3,Wales
Martyn Williams,Flanker,1975-09-01,47,91,Wales
Gareth Delve,Number 8,1982-12-30,39,9,Wales
Ryan Jones (c),Number 8,1981-03-13,41,36,Wales
Gareth Cooper,Scrum-half,1979-05-07,43,44,Wales
Dwayne Peel,Scrum-half,1981-08-31,41,72,Wales
Mike Phillips,Scrum-half,1982-08-29,40,38,Wales
Richie Rees,Scrum-half,1983-05-21,39,0,Wales
Martin Roberts,Scrum-half,1986-06-06,36,3,Wales
Dan Biggar,Fly-half,1989-10-16,32,4,Wales
Stephen Jones,Fly-half,1977-12-08,44,83,Wales
Andrew Bishop,Centre,1985-08-07,37,8,Wales
Jonathan Davies,Centre,1988-04-05,34,5,Wales
James Hook,Centre,1985-06-27,37,37,Wales
Jamie Roberts,Centre,1986-11-08,35,16,Wales
Tom Shanklin,Centre,1979-11-24,42,65,Wales
Leigh Halfpenny,Wing,1988-12-22,33,10,Wales
Tom James,Wing,1987-04-17,35,8,Wales
Kristian Phillips,Wing,1990-09-02,32,0,Wales
Tom Prydie,Wing,1992-02-23,30,0,Wales
Shane Williams,Wing,1977-02-26,45,68,Wales
Lee Byrne,Fullback,1980-06-01,42,27,Wales
