Player,Position,Date of Birth,Age,Caps,Team
Manu Tuilagi,Centre,1991-05-18,30,46,Wales
Elliot Daly,Wing,1992-10-08,29,52,Wales
Louis Lynagh,Wing,2000-12-03,21,0,Wales
Adam Radwan,Wing,1997-12-30,24,2,Wales
Andrea Lovotti,Prop,1989-07-28,32,47,Wales
Ion Neculai,Prop,2001-01-25,21,0,Wales
Andrea Zambonin,Lock,2000-09-03,21,1,Wales
Renato Giammarioli,Back row,1995-03-23,26,5,Wales
Enrico Lucchin,Centre,1995-04-04,26,0,Wales
Ange Capuozzo,Fullback,1999-04-30,22,0,Wales
Fraser Brown,Hooker,1989-06-20,32,54,Wales
Simon Berghan,Prop,1990-12-07,31,31,Wales
Allan Dell,Prop,1992-03-16,29,32,Wales
Oli Kebble,Prop,1992-06-18,29,11,Wales
Murphy Walker,Prop,1999-10-25,22,0,Wales
Kiran McDonald,Lock,1994-01-11,28,0,Wales
Marshall Sykes,Lock,1999-12-29,22,1,Wales
Glen Young,Lock,1994-11-04,27,0,Wales
Adam Hastings,Fly-half,1996-10-05,25,25,Wales
Ross Thompson,Fly-half,1999-04-10,22,1,Wales
James Lang,Centre,1995-05-03,26,6,Wales
Jordan Edmunds,Wing,1994-06-28,28,0,Wales
Sean Maitland,Wing,1988-09-14,33,53,Wales
Ollie Smith,Fullback,2000-07-08,21,0,Wales
Ryan Elias,Hooker,1995-01-07,27,23,Wales
Dewi Lake,Hooker,1999-05-16,22,0,Wales
Bradley Roberts,Hooker,1996-01-04,26,1,Wales
Leon Brown,Prop,1996-10-26,25,16,Wales
Rhys Carré,Prop,1998-02-08,23,16,Wales
Tomas Francis,Prop,1992-04-27,29,60,Wales
Wyn Jones,Prop,1992-02-26,29,38,Wales
Dillon Lewis,Prop,1996-01-04,26,34,Wales
Gareth Thomas,Prop,1993-08-02,28,5,Wales
Adam Beard,Lock,1996-01-07,26,29,Wales
Ben Carter,Lock,2001-01-23,21,5,Wales
Seb Davies,Lock,1996-05-17,25,13,Wales
Will Rowlands,Lock,1991-09-19,30,13,Wales
Christ Tshiunza,Lock,2002-01-09,20,2,Wales
Taine Basham,Back row,1999-11-02,22,7,Wales
Ellis Jenkins,Back row,1993-04-29,28,14,Wales
Jac Morgan,Back row,2000-01-21,22,0,Wales
Ross Moriarty,Back row,1994-04-18,27,49,Wales
James Ratti,Back row,1997-10-14,24,0,Wales
Aaron Wainwright,Back row,1997-09-25,24,34,Wales
Gareth Davies,Scrum-half,1990-08-18,31,65,Wales
Kieran Hardy,Scrum-half,1995-11-30,26,8,Wales
Tomos Williams,Scrum-half,1995-01-01,27,29,Wales
Gareth Anscombe,Fly-half,1991-05-10,30,29,Wales
Dan Biggar (c),Fly-half,1989-10-16,32,95,Wales
Rhys Priestland,Fly-half,1987-01-09,35,52,Wales
Callum Sheedy,Fly-half,1995-10-28,26,13,Wales
Jonathan Davies,Centre,1988-04-05,33,93,Wales
Willis Halaholo,Centre,1990-07-06,31,9,Wales
Nick Tompkins,Centre,1995-02-16,26,16,Wales
Owen Watkin,Centre,1996-10-12,25,26,Wales
Josh Adams,Wing,1995-04-21,26,35,Wales
Alex Cuthbert,Wing,1990-04-05,31,48,Wales
Louis Rees-Zammit,Wing,2001-02-02,21,12,Wales
Johnny McNicholl,Fullback,1990-09-24,31,8,Wales
Liam Williams,Fullback,1991-04-09,30,74,Wales
